model_id,chain,parameter,chain_effective_sample_size
BVAR-HOM-final-chain2,2,cholesky_U_7,5810.495448913782
BVAR-HOM-final-chain2,2,cholesky_U_8,3494.0772700956036
BVAR-HOM-final-chain2,2,cholesky_U_9,1416.8688207153775
BVAR-HOM-final-chain2,2,cholesky_U_10,5008.562415047316
BVAR-HOM-final-chain3,3,own_lag1__EUA_ret,10000.000000000053
BVAR-HOM-final-chain3,3,own_lag1__TTF_ret,8746.388021688937
BVAR-HOM-final-chain3,3,own_lag1__Brent_ret,8290.38620260963
BVAR-HOM-final-chain3,3,own_lag1__Power_ret,3794.675362551742
BVAR-HOM-final-chain3,3,own_lag1__CPI_yoy_change,6398.563695610074
BVAR-HOM-final-chain3,3,own_lag1__IP_growth,8514.075589296373
BVAR-HOM-final-chain3,3,own_lag1__Bund2Y_change,9999.999999999982
BVAR-HOM-final-chain3,3,own_lag1__CISS_change,7749.494533752065
BVAR-HOM-final-chain3,3,own_lag1__GreenEquity_relative,9999.999999999993
BVAR-HOM-final-chain3,3,own_lag1__GreenBond_relative,8811.291546717517
BVAR-HOM-final-chain3,3,lag1__EUA_ret__to__GreenEquity_relative,10000.000000000062
BVAR-HOM-final-chain3,3,lag1__TTF_ret__to__GreenEquity_relative,10445.641056417822
BVAR-HOM-final-chain3,3,lag1__Brent_ret__to__GreenEquity_relative,10785.672364890723
BVAR-HOM-final-chain3,3,lag1__Power_ret__to__GreenEquity_relative,10000.000000000036
BVAR-HOM-final-chain3,3,lag1__CPI_yoy_change__to__GreenEquity_relative,10000.000000000056
BVAR-HOM-final-chain3,3,lag1__IP_growth__to__GreenEquity_relative,10000.000000000018
BVAR-HOM-final-chain3,3,lag1__Bund2Y_change__to__GreenEquity_relative,9999.999999999982
BVAR-HOM-final-chain3,3,lag1__CISS_change__to__GreenEquity_relative,9689.281226945384
BVAR-HOM-final-chain3,3,intercept__GreenEquity_relative,9999.999999999982
BVAR-HOM-final-chain3,3,lag1__EUA_ret__to__GreenBond_relative,9907.1707757504
BVAR-HOM-final-chain3,3,lag1__TTF_ret__to__GreenBond_relative,9279.821916789191
BVAR-HOM-final-chain3,3,lag1__Brent_ret__to__GreenBond_relative,10000.000000000044
BVAR-HOM-final-chain3,3,lag1__Power_ret__to__GreenBond_relative,9999.999999999993
BVAR-HOM-final-chain3,3,lag1__CPI_yoy_change__to__GreenBond_relative,10000.000000000025
BVAR-HOM-final-chain3,3,lag1__IP_growth__to__GreenBond_relative,10000.000000000002
BVAR-HOM-final-chain3,3,lag1__Bund2Y_change__to__GreenBond_relative,9666.98503594831
BVAR-HOM-final-chain3,3,lag1__CISS_change__to__GreenBond_relative,9614.97576027566
BVAR-HOM-final-chain3,3,intercept__GreenBond_relative,10000.000000000035
BVAR-HOM-final-chain3,3,sv_mu__EUA_ret,0
BVAR-HOM-final-chain3,3,sv_mu__TTF_ret,0
BVAR-HOM-final-chain3,3,sv_mu__Brent_ret,0
BVAR-HOM-final-chain3,3,sv_mu__Power_ret,0
BVAR-HOM-final-chain3,3,sv_mu__CPI_yoy_change,0
BVAR-HOM-final-chain3,3,sv_mu__IP_growth,0
BVAR-HOM-final-chain3,3,sv_mu__Bund2Y_change,0
BVAR-HOM-final-chain3,3,sv_mu__CISS_change,0
BVAR-HOM-final-chain3,3,sv_mu__GreenEquity_relative,0
BVAR-HOM-final-chain3,3,sv_mu__GreenBond_relative,0
BVAR-HOM-final-chain3,3,sv_phi__EUA_ret,0
BVAR-HOM-final-chain3,3,sv_phi__TTF_ret,0
BVAR-HOM-final-chain3,3,sv_phi__Brent_ret,0
BVAR-HOM-final-chain3,3,sv_phi__Power_ret,0
BVAR-HOM-final-chain3,3,sv_phi__CPI_yoy_change,0
BVAR-HOM-final-chain3,3,sv_phi__IP_growth,0
BVAR-HOM-final-chain3,3,sv_phi__Bund2Y_change,0
BVAR-HOM-final-chain3,3,sv_phi__CISS_change,0
BVAR-HOM-final-chain3,3,sv_phi__GreenEquity_relative,0
BVAR-HOM-final-chain3,3,sv_phi__GreenBond_relative,0
BVAR-HOM-final-chain3,3,sv_sigma2__EUA_ret,0
