parameter,mean,sd,rhat,ess_bulk,ess_tail,mcse_mean,model_group,rhat_pass,bulk_ess_pass,tail_ess_pass
lag1__CISS_change__to__GreenBond_relative,-7.646571954413863e-6,0.0021742488131268963,1.0001678702508163,29763.51709666013,24560.00030655768,1.259766719543212e-5,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
intercept__GreenBond_relative,3.1919455444284246e-4,0.0010314496408108562,1.0000501009814686,30031.26482958421,29322.365992624378,5.9508557333243225e-6,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__EUA_ret,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__TTF_ret,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__Brent_ret,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__Power_ret,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__CPI_yoy_change,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__IP_growth,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__Bund2Y_change,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__CISS_change,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__GreenEquity_relative,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_mu__GreenBond_relative,-10,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__EUA_ret,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__TTF_ret,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__Brent_ret,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__Power_ret,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__CPI_yoy_change,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__IP_growth,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__Bund2Y_change,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__CISS_change,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__GreenEquity_relative,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_phi__GreenBond_relative,0.9,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__EUA_ret,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__TTF_ret,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__Brent_ret,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__Power_ret,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__CPI_yoy_change,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__IP_growth,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__Bund2Y_change,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__CISS_change,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__GreenEquity_relative,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
sv_sigma2__GreenBond_relative,0.2,0,NA,NA,NA,NA,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
cholesky_U_1,-3.637359654623109e-4,0.004668941994580336,1.0301900115522349,22720.84543098085,1505.3072212311981,5.0572305593227315e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_2,-6.339215980518462e-4,0.004733744239566746,1.027589140543041,10772.369884311169,1307.7810112676545,7.668031398183102e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_3,-6.657259764987043e-4,0.00460072481924789,1.0294950666002889,11887.318340771668,1447.3419991383835,7.314906710372704e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_4,-4.175691545848688e-4,0.004279638038697185,1.030420788305147,23745.08149584467,1484.83335806538,3.609990019570991e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_5,-0.0021565633405899332,0.006158811612262607,1.0201255599222947,1016.6810971330923,816.2017625986346,2.4167444174000134e-4,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_6,-3.796747499544602e-4,0.004240250795762549,1.029817598651864,27492.73076622403,1524.584552361487,3.5886829568966934e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_7,-3.4440489407136147e-4,0.0032637370496160873,1.0253956340357764,26721.41912124399,2284.619095616354,2.2450191209913354e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_8,-4.1698872350840014e-4,0.0026855077206127814,1.0208065090065255,18684.45493176577,2299.3932353696855,2.209656872335668e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_9,-6.483110088216256e-4,0.0032860471911674125,1.0245698525486209,10134.520023046649,1902.743734876408,4.443851654364135e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
cholesky_U_10,-2.4320201254979414e-4,0.00394034937091342,1.029465281259422,29080.542992879033,1843.447626718754,2.4133576001119577e-5,BVAR-HOMOSKEDASTIC-final,FALSE,TRUE,TRUE
own_lag1__EUA_ret,-0.011043258098707319,0.07699638284551565,1.0004865034334014,13737.648300810008,22171.601504492275,6.572682523065328e-4,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__TTF_ret,0.08487608771994311,0.08172296619683302,1.0005418829693358,10536.765515982479,21394.696781303133,7.965047785080945e-4,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__Brent_ret,0.042996509837708745,0.0792034992911254,1.000131687914181,7634.40643525668,17473.05501922201,9.066094125949595e-4,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__Power_ret,0.2342521889983968,0.09526687584762807,1.0004143111461081,3166.680690525284,3202.3487446765726,0.001676067436136421,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__CPI_yoy_change,0.2363947009774288,0.08426361613525937,1.000797673514715,5090.779955710812,3977.7311969290445,0.0011938895355901441,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__IP_growth,-0.23440331674985054,0.08327995394072846,1.001149927898355,4971.824154271074,4060.5282538572196,0.0011947893599966667,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__Bund2Y_change,-0.11545798554824309,0.08151929322771759,1.0015510722328282,6605.10832794671,18062.383763624533,0.0010017695116967716,BVAR-SV-final,TRUE,TRUE,TRUE
